x0,y0,x1,y1,realSeparation,desiredSeparation,pairHeadingAngle,desiredOrientation,time,frequency
245 , 284 , 365 , 255 , 123.454 , 120.0 , 13.586 , 0.0 , 1.928 , -23.091
244 , 283 , 365 , 255 , 124.197 , 120.0 , 13.029 , 0.0 , 1.941 , -21.605
244 , 283 , 365 , 256 , 123.976 , 120.0 , 12.579 , 0.0 , 1.956 , -22.048
244 , 283 , 366 , 256 , 124.952 , 120.0 , 12.479 , 0.0 , 1.975 , -20.096
243 , 283 , 366 , 257 , 125.718 , 120.0 , 11.936 , 0.0 , 1.99 , -18.564
243 , 282 , 367 , 258 , 126.301 , 120.0 , 10.954 , 0.0 , 2.007 , -17.398
242 , 282 , 367 , 257 , 127.475 , 120.0 , 11.31 , 0.0 , 2.024 , -15.049
242 , 281 , 367 , 258 , 127.098 , 120.0 , 10.426 , 0.0 , 2.039 , -15.803
242 , 281 , 367 , 259 , 126.921 , 120.0 , 9.982 , 0.0 , 2.073 , -16.158
242 , 280 , 367 , 259 , 126.752 , 120.0 , 9.537 , 0.0 , 2.09 , -16.497
242 , 279 , 366 , 259 , 125.603 , 120.0 , 9.162 , 0.0 , 2.122 , -18.795
242 , 279 , 367 , 260 , 126.436 , 120.0 , 8.643 , 0.0 , 2.139 , -17.128
242 , 278 , 368 , 261 , 127.142 , 120.0 , 7.684 , 0.0 , 2.172 , -15.717
242 , 278 , 367 , 261 , 126.151 , 120.0 , 7.745 , 0.0 , 2.19 , -17.699
242 , 277 , 368 , 262 , 126.89 , 120.0 , 6.789 , 0.0 , 2.207 , -16.221
243 , 277 , 368 , 262 , 125.897 , 120.0 , 6.843 , 0.0 , 2.222 , -18.206
242 , 276 , 368 , 262 , 126.775 , 120.0 , 6.34 , 0.0 , 2.239 , -16.449
242 , 276 , 367 , 262 , 125.782 , 120.0 , 6.39 , 0.0 , 2.257 , -18.437
243 , 276 , 367 , 263 , 124.68 , 120.0 , 5.985 , 0.0 , 2.273 , -20.641
243 , 275 , 368 , 263 , 125.575 , 120.0 , 5.484 , 0.0 , 2.29 , -18.851
243 , 275 , 367 , 264 , 124.487 , 120.0 , 5.069 , 0.0 , 2.323 , -21.026
244 , 274 , 367 , 264 , 123.406 , 120.0 , 4.648 , 0.0 , 2.339 , -23.188
243 , 274 , 367 , 264 , 124.403 , 120.0 , 4.611 , 0.0 , 2.355 , -21.195
244 , 274 , 367 , 264 , 123.406 , 120.0 , 4.648 , 0.0 , 2.371 , -23.188
244 , 273 , 367 , 265 , 123.26 , 120.0 , 3.721 , 0.0 , 2.389 , -23.48
244 , 272 , 367 , 265 , 123.199 , 120.0 , 3.257 , 0.0 , 2.421 , -23.602
245 , 272 , 366 , 266 , 121.149 , 120.0 , 2.839 , 0.0 , 2.438 , -27.703
245 , 272 , 366 , 265 , 121.202 , 120.0 , 3.311 , 0.0 , 2.455 , -27.595
245 , 271 , 366 , 266 , 121.103 , 120.0 , 2.366 , 0.0 , 2.473 , -27.793
245 , 271 , 366 , 265 , 121.149 , 120.0 , 2.839 , 0.0 , 2.488 , -27.703
245 , 271 , 366 , 266 , 121.103 , 120.0 , 2.366 , 0.0 , 2.521 , -27.793
246 , 271 , 366 , 266 , 120.104 , 120.0 , 2.386 , 0.0 , 2.542 , -29.792
246 , 270 , 365 , 267 , 119.038 , 120.0 , 1.444 , 0.0 , 2.556 , 31.924
247 , 270 , 365 , 267 , 118.038 , 120.0 , 1.456 , 0.0 , 2.588 , 33.924
247 , 269 , 365 , 267 , 118.017 , 120.0 , 0.971 , 0.0 , 2.637 , 33.966
248 , 270 , 365 , 267 , 117.038 , 120.0 , 1.469 , 0.0 , 2.654 , 35.923
247 , 269 , 364 , 268 , 117.004 , 120.0 , 0.49 , 0.0 , 2.671 , 35.991
248 , 269 , 364 , 268 , 116.004 , 120.0 , 0.494 , 0.0 , 2.687 , 37.991
248 , 268 , 364 , 268 , 116.0 , 120.0 , 0.0 , 0.0 , 2.704 , 38.0
