x0,y0,x1,y1,realSeparation,desiredSeparation,pairHeadingAngle,desiredOrientation,time,frequency
252 , 275 , 374 , 289 , 122.801 , 120.0 , -6.546 , 0.0 , 1.545 , 24.399
253 , 274 , 373 , 289 , 120.934 , 120.0 , -7.125 , 0.0 , 1.577 , 28.132
253 , 273 , 373 , 290 , 121.198 , 120.0 , -8.063 , 0.0 , 1.593 , 27.604
254 , 273 , 372 , 291 , 119.365 , 120.0 , -8.673 , 0.0 , 1.634 , 31.27
254 , 272 , 372 , 291 , 119.52 , 120.0 , -9.147 , 0.0 , 1.645 , 30.96
253 , 272 , 372 , 292 , 120.669 , 120.0 , -9.54 , 0.0 , 1.662 , 28.662
254 , 271 , 372 , 292 , 119.854 , 120.0 , -10.091 , 0.0 , 1.679 , 30.292
254 , 271 , 372 , 293 , 120.033 , 120.0 , -10.561 , 0.0 , 1.696 , 29.933
254 , 271 , 371 , 293 , 119.05 , 120.0 , -10.649 , 0.0 , 1.711 , 31.899
255 , 270 , 371 , 293 , 118.258 , 120.0 , -11.215 , 0.0 , 1.727 , 33.484
255 , 269 , 370 , 294 , 117.686 , 120.0 , -12.265 , 0.0 , 1.745 , 34.628
256 , 269 , 370 , 295 , 116.927 , 120.0 , -12.848 , 0.0 , 1.76 , 36.145
255 , 268 , 370 , 295 , 118.127 , 120.0 , -13.213 , 0.0 , 1.776 , 33.746
255 , 268 , 369 , 296 , 117.388 , 120.0 , -13.799 , 0.0 , 1.81 , 35.224
256 , 268 , 369 , 296 , 116.417 , 120.0 , -13.917 , 0.0 , 1.828 , 37.165
256 , 267 , 369 , 297 , 116.914 , 120.0 , -14.868 , 0.0 , 1.859 , 36.171
255 , 267 , 369 , 296 , 117.631 , 120.0 , -14.273 , 0.0 , 1.876 , 34.738
256 , 267 , 369 , 297 , 116.914 , 120.0 , -14.868 , 0.0 , 1.894 , 36.171
256 , 267 , 369 , 296 , 116.662 , 120.0 , -14.394 , 0.0 , 1.91 , 36.676
257 , 266 , 369 , 297 , 116.211 , 120.0 , -15.471 , 0.0 , 1.963 , 37.578
256 , 266 , 369 , 296 , 116.914 , 120.0 , -14.868 , 0.0 , 1.977 , 36.171
257 , 266 , 369 , 297 , 116.211 , 120.0 , -15.471 , 0.0 , 2.011 , 37.578
257 , 265 , 369 , 297 , 116.482 , 120.0 , -15.945 , 0.0 , 2.025 , 37.036
256 , 265 , 369 , 297 , 117.444 , 120.0 , -15.811 , 0.0 , 2.042 , 35.113
256 , 265 , 368 , 297 , 116.482 , 120.0 , -15.945 , 0.0 , 2.06 , 37.036
256 , 265 , 369 , 297 , 117.444 , 120.0 , -15.811 , 0.0 , 2.109 , 35.113
256 , 265 , 368 , 297 , 116.482 , 120.0 , -15.945 , 0.0 , 2.143 , 37.036
